Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,rest/comment_events,7,0,900,840.4301428547894,642.7900999988196,957.7839999983553,17313.0,0.023430854281096765,0.0,900,910,930,930,960,960,960,960,960,960,960
GET,rest/overfetch_partial,21,0,800,784.909176191182,566.2772000068799,984.4378999987384,17085.0,0.0702925628432903,0.0,800,810,850,850,850,980,980,980,980,980,980
REST-chain,rest/project_comments [chain],26,0,14000,13766.053942308645,13440.398200007621,14855.962800007546,43429.0,0.08702888732978799,0.0,14000,14000,14000,14000,14000,14000,15000,15000,15000,15000,15000
GET,rest/project_comments/comments,713,0,510,520.1950036464824,473.94289998919703,816.5235000051325,1053.4712482468444,2.3865998717745707,0.0,510,510,510,520,520,610,640,720,820,820,820
GET,rest/project_comments/topics,30,0,790,768.4932166661989,544.7217000037199,1072.1819999889703,17085.0,0.10041794691898613,0.0,790,800,820,860,890,910,1100,1100,1100,1100,1100
GET,rest/topic_events,9,0,930,951.1759222255528,882.2386999963783,1180.489000005764,19612.0,0.03012538407569584,0.0,930,930,960,960,1200,1200,1200,1200,1200,1200,1200
REST-chain,rest/topic_full [chain],27,0,53000,53012.10106666636,52001.376700005494,54674.88759999105,60750.0,0.09037615222708752,0.0,53000,53000,53000,53000,54000,54000,55000,55000,55000,55000,55000
GET,rest/topic_full/comments,701,0,510,524.3876530667317,477.03190000902396,1227.2914000059245,1053.7246790299573,2.346432693006976,0.0,510,510,510,520,530,620,650,720,1200,1200,1200
GET,rest/topic_full/files,701,0,510,520.919267189706,450.3794000047492,798.6134999955539,220.34094151212554,2.346432693006976,0.0,510,510,510,520,520,610,630,710,800,800,800
GET,rest/topic_full/selection,699,0,510,520.704867238872,449.8730999912368,1021.9326000078581,331.0886981402003,2.339738163212377,0.0,510,510,510,520,520,610,620,710,1000,1000,1000
GET,rest/topic_full/topics,29,0,800,805.0068827568762,540.2966999972705,1146.3014999899315,17085.0,0.0970706820216866,0.0,800,810,860,870,990,1000,1100,1100,1100,1100,1100
GET,rest/topic_full/viewpoints,699,0,510,522.883797567849,478.4924999985378,1119.120200004545,141.6552217453505,2.339738163212377,0.0,510,510,510,520,520,610,640,720,1100,1100,1100
GET,rest/topics_flat,10,0,820,965.3371300009894,750.1455000019632,1757.408999998006,17085.0,0.03347264897299538,0.0,840,870,940,1300,1800,1800,1800,1800,1800,1800,1800
REST-chain,rest/topics_nested [chain],36,0,27000,27047.296116665773,26231.994000001578,28177.2903999954,28898.0,0.12050153630278336,0.0,27000,27000,27000,27000,28000,28000,28000,28000,28000,28000,28000
GET,rest/topics_nested/selection,944,0,510,522.6340157840673,451.1943999968935,1328.6457999929553,328.0561440677966,3.1598180630507637,0.0,510,510,510,510,520,620,640,720,1300,1300,1300
GET,rest/topics_nested/topics,40,0,800,841.4395775005687,529.58000000217,1771.3972000055946,17085.0,0.13389059589198152,0.0,800,840,910,940,980,1200,1800,1800,1800,1800,1800
GET,rest/topics_nested/viewpoints,948,0,510,525.1128277425007,477.8863999963505,1228.7055000051623,141.542194092827,3.173207122639962,0.0,510,510,510,520,520,610,710,820,1200,1200,1200
,Aggregated,5640,0,510,1012.0364478722767,449.8730999912368,54674.88759999105,1550.893794326241,18.878574020769396,0.0,510,510,520,520,610,710,980,27000,53000,55000,55000
